[2026-06-07 04:54:30,995: INFO: 1447225239: Total files extracted: 2610]
[2026-06-07 04:54:30,996: INFO: 1447225239: Extraction directory: artifacts\data_ingestion]
[2026-06-07 04:54:30,997: INFO: 1447225239:   - data.yaml]
[2026-06-07 04:54:30,998: INFO: 1447225239:   - test]
[2026-06-07 04:54:30,998: INFO: 1447225239:   - train]
[2026-06-07 04:54:30,999: INFO: 1447225239:   - valid]
[2026-06-07 04:54:48,682: INFO: 1447225239: Total files extracted: 2610]
[2026-06-07 04:54:48,683: INFO: 1447225239: Extraction directory: artifacts\data_ingestion]
[2026-06-07 04:54:48,685: INFO: 1447225239:   - data.yaml]
[2026-06-07 04:54:48,686: INFO: 1447225239:   - test]
[2026-06-07 04:54:48,687: INFO: 1447225239:   - train]
[2026-06-07 04:54:48,688: INFO: 1447225239:   - valid]
[2026-06-07 04:54:49,562: INFO: 1447225239: Total files extracted: 2610]
[2026-06-07 04:54:49,563: INFO: 1447225239: Extraction directory: artifacts\data_ingestion]
[2026-06-07 04:54:49,564: INFO: 1447225239:   - data.yaml]
[2026-06-07 04:54:49,565: INFO: 1447225239:   - test]
[2026-06-07 04:54:49,566: INFO: 1447225239:   - train]
[2026-06-07 04:54:49,566: INFO: 1447225239:   - valid]
[2026-06-07 05:01:23,369: INFO: 1447225239: Total files extracted: 2610]
[2026-06-07 05:01:23,370: INFO: 1447225239: Extraction directory: artifacts\data_ingestion]
[2026-06-07 05:01:23,371: INFO: 1447225239:   - data.yaml]
[2026-06-07 05:01:23,371: INFO: 1447225239:   - test]
[2026-06-07 05:01:23,372: INFO: 1447225239:   - train]
[2026-06-07 05:01:23,372: INFO: 1447225239:   - valid]
[2026-06-07 05:03:43,892: INFO: 1447225239: Total files extracted: 2610]
[2026-06-07 05:03:43,893: INFO: 1447225239: Extraction directory: artifacts\data_ingestion]
[2026-06-07 05:03:43,894: INFO: 1447225239:   - data.yaml]
[2026-06-07 05:03:43,895: INFO: 1447225239:   - test]
